scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Prognathodes aya,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,Prognathodes,fish,Prognathodes,Bank butterflyfish,15,TL,reef-associated,20,170,short and / or deep,NA,commercial,NA
Sphoeroides dorsalis,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,fish,Sphoeroides,Marbled puffer,20,TL,demersal,18,100,short and / or deep,NA,commercial,NA
Aspredo aspredo,Chordata,Teleostei,Siluriformes,Aspredinidae,Aspredo,fish,Aspredo,Banjo catfish,38.29999923706055,SL,demersal,NA,NA,elongated,NA,minor commercial,NA
Coelorinchus occa,Chordata,Teleostei,Gadiformes,Macrouridae,Coelorinchus,fish,Coelorinchus,Swordsnout grenadier,50,TL,bathydemersal,400,2220,elongated,non-migratory,subsistence fisheries,NA
Pareques umbrosus,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Pareques,fish,Pareques,Cubbyu,25,TL,reef-associated,5,91,elongated,NA,minor commercial,NA
Selaroides leptolepis,Chordata,Teleostei,Carangiformes,Carangidae,Selaroides,fish,Selaroides,Yellowstripe scad,22,TL,reef-associated,1,50,fusiform / normal,amphidromous,commercial,seines
Gymnothorax maderensis,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,fish,Gymnothorax,Sharktooth moray,100,TL,demersal,85,200,eel-like,NA,minor commercial,NA
Chelidonichthys cuculus,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys,fish,Chelidonichthys,Red gurnard,70,TL,demersal,15,400,fusiform / normal,NA,minor commercial,trawls
Bathytroctes squamosus,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Bathytroctes,fish,Bathytroctes,Deepscale slickhead,30.600000381469727,SL,bathypelagic,1000,2060,fusiform / normal,NA,NA,NA
Haemulon plumierii,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,fish,Haemulon,White grunt,53,TL,reef-associated,3,40,fusiform / normal,NA,minor commercial,traps
Calamus calamus,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Calamus,fish,Calamus,Saucereye porgy,56,TL,reef-associated,1,75,short and / or deep,NA,minor commercial,NA
Symbolophorus evermanni,Chordata,Teleostei,Myctophiformes,Myctophidae,Symbolophorus,fish,Symbolophorus,Evermann's lantern fish,11.699999809265137,TL,bathypelagic,100,500,elongated,oceanodromous,NA,NA
Myliobatis goodei,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,fish,Myliobatis,Southern eagle ray,125,TL,benthopelagic,1,130,other,NA,minor commercial,hooks and lines
Conger esculentus,Chordata,Teleostei,Anguilliformes,Congridae,Conger,fish,Conger,Grey conger,160,TL,reef-associated,120,400,eel-like,NA,minor commercial,hooks and lines
Scorpaena isthmensis,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,fish,Scorpaena,Smooth-cheek scorpionfish,16,TL,demersal,70,110,fusiform / normal,NA,NA,NA
Sebastes caurinus,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,fish,Sebastes,Copper rockfish,58,TL,demersal,10,183,fusiform / normal,NA,minor commercial,NA
Brevoortia patronus,Chordata,Teleostei,Clupeiformes,Alosidae,Brevoortia,fish,Brevoortia,Gulf menhaden,35,SL,pelagic-neritic,0,50,fusiform / normal,NA,highly commercial,NA
Halichoeres trimaculatus,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,fish,Halichoeres,Threespot wrasse,27,TL,reef-associated,2,30,fusiform / normal,NA,commercial,NA
