#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV10759	species	Micromonas pusilla	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	lca
ASV1076	species	Sphaerotrichia divaricata	Eukaryota	Phaeophyceae	Phaeophyceae	Ectocarpales	Chordariaceae	Sphaerotrichia	Sphaerotrichia divaricata	best hit
ASV10775	species	Berkeleya fennica	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Berkeleyaceae	Berkeleya	Berkeleya fennica	best hit
ASV10778	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV10779	species	Flavobacterium ammoniigenes	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium ammoniigenes	best hit
ASV10781	species	Minutocellus polymorphus	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	lca
ASV10793	species	uncultured diatom	Eukaryota	Bacillariophyta	unknown class	unknown order	unknown family	unknown genus	uncultured diatom	best hit
ASV10797	order	Helotiales	Fungi	Ascomycota	Leotiomycetes	Helotiales	no identification	no identification	no identification	lca
ASV10800	species	Gonyaulax sp. AC551	Eukaryota	Dinophyceae	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax sp. AC551	best hit
ASV10801	genus	Olpidiopsis	Eukaryota	Oomycota	unknown class	Olpidiopsidales	Olpidiopsidaceae	Olpidiopsis	no identification	lca
ASV10808	species	Halisarca dujardinii	Eukaryota	Porifera	Demospongiae	Chondrillida	Halisarcidae	Halisarca	Halisarca dujardinii	best hit
ASV1081	species	Halioglobus sp. Uisw_031	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus sp. Uisw_031	best hit
ASV10811	species	Phaeocystis antarctica	Eukaryota	Haptophyta	unknown class	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	lca
ASV10820	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10822	species	Euphysa japonica	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corymorphidae	Euphysa	Euphysa japonica	best hit
ASV10830	species	Temora sp.	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Temoridae	Temora	Temora sp.	lca
ASV10833	species	Chlamys islandica	Eukaryota	Mollusca	Bivalvia	Pectinida	Pectinidae	Chlamys	Chlamys islandica	best hit
ASV10846	species	Polycirrus eximius	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Polycirrus	Polycirrus eximius	best hit
ASV1086	species	Dictyocha speculum	Eukaryota	Dictyochophyceae	Dictyochophyceae	Dictyochales	Dictyochaceae	Dictyocha	Dictyocha speculum	lca
ASV1087	species	Crassostrea virginica	Eukaryota	Mollusca	Bivalvia	Ostreida	Ostreidae	Crassostrea	Crassostrea virginica	best hit
ASV10877	species	Chone infundibuliformis	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Chone	Chone infundibuliformis	best hit
ASV10897	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10907	species	Pythium monospermum	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	Pythium	Pythium monospermum	best hit
ASV10910	family	Pythiaceae	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	no identification	no identification	lca
ASV10919	species	Squamamoeba japonica	Eukaryota	Evosea	unknown class	unknown order	unknown family	Squamamoeba	Squamamoeba japonica	lca
ASV10929	genus	Choricystis	Viridiplantae	Chlorophyta	Trebouxiophyceae	unknown order	unknown family	Choricystis	no identification	lca
ASV10933	species	Clytia hemisphaerica	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia hemisphaerica	best hit
ASV10944	species	Cognettia varisetosa	Eukaryota	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Cognettia	Cognettia varisetosa	best hit
ASV10948	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10950	order	Helotiales	Fungi	Ascomycota	Leotiomycetes	Helotiales	no identification	no identification	no identification	lca
ASV10951	species	Microcalanus pusillus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Microcalanus	Microcalanus pusillus	best hit
ASV10957	genus	Nitzschia	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	no identification	lca
ASV10958	species	Peronospora lamii	Eukaryota	Oomycota	unknown class	Peronosporales	Peronosporaceae	Peronospora	Peronospora lamii	lca
ASV10961	genus	Globisporangium	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	Globisporangium	no identification	lca
ASV10984	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV10993	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10994	species	Triparma laevis	Eukaryota	Bolidophyceae	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma laevis	best hit
ASV11	species	Phaeocystis antarctica	Eukaryota	Haptophyta	unknown class	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	lca
