#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV95	species	Artediellus atlanticus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Artediellus	Artediellus atlanticus	best hit
ASV96	species	Urophycis chuss	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis chuss	best hit
ASV98	species	Peprilus triacanthus	Eukaryota	Chordata	Actinopteri	Scombriformes	Stromateidae	Peprilus	Peprilus triacanthus	best hit
ASV99	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV100	species	Virgulinella fragilis	Eukaryota	Foraminifera	unknown class	Rotaliida	unknown family	Virgulinella	Virgulinella fragilis	best hit
ASV101	species	Skeletonema pseudocostatum	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema pseudocostatum	best hit
ASV102	species	uncultured deep-sea bacterium	Bacteria	unknown phylum	unknown class	unknown order	unknown family	unknown genus	uncultured deep-sea bacterium	best hit
ASV103	species	uncultured bacterium	Bacteria	unknown phylum	unknown class	unknown order	unknown family	unknown genus	uncultured bacterium	best hit
ASV104	species	Notoscopelus elongatus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Notoscopelus	Notoscopelus elongatus	best hit
ASV105	species	Melanogrammus aeglefinus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Melanogrammus	Melanogrammus aeglefinus	best hit
ASV106	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV107	species	Sebastes mentella	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes mentella	best hit
ASV108	species	Anas platyrhynchos	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	best hit
ASV109	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV110	species	Salvelinus fontinalis x Salvelinus malma	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis x Salvelinus malma	best hit
ASV111	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV112	species	uncultured bacterium	Bacteria	unknown phylum	unknown class	unknown order	unknown family	unknown genus	uncultured bacterium	best hit
